links,name,type,genres,features,Developer,publisher,release date,platform,os recommended,cpu,memory,gpu,directx,storage,language,price,Critics Recommend,Top Critic Average,OpenCritic Rating
Helium RainFree,Helium Rain,Editor,–,–,CREATIVE ASSEMBLY,Deimos Games,03/01/19,Platform,Windows 7 (64 bits),Intel Core® i3,NVIDIA GeForce® GTX 470 / AMD Radeon® HD 6870 / DX10 compatible GPU with at least 1GB VRAM,5 GB available space,DirectX10,4 GB RAM,null,Free,null,null,null
Thunder Tier One Modding ToolFree,Thunder Tier One Modding Tool,Editor,–,–,"KRAFTON, Inc.","KRAFTON, Inc.",02/23/22,PlatformWindowsWindows,Windows 7 64-bit,Intel Core i5 3.3 GHz,16 GB,null,null,null,AUDIO: English | TEXT: English,Free,null,null,null
Insurgency: Sandstorm - Mod Tools & EditorFree,null,null,null,null,null,null,null,null,null,null,null,null,null,null,English,Free,61%,79,Strong
A Total War Saga: TROY – ASSEMBLY KITFree,A Total War Saga: TROY,Base Game,Strategy,MultiplayerSingle Player,CREATIVE ASSEMBLY,SEGA,Initial Release10/08/20,Windows,Windows 7/8.1/10 64 Bit,Intel Core 2 Duo 3.0 GHz/Intel i7 8550U 1.80GHz,4 GB/6 GB (It is 4 for dedicated GPU and 6 for integrated one),Nvidia GTX 460 1GB/AMD Radeon HD 5770 1 GB/Intel UHD Graphics 620,A Total War Saga: TROY - ASSEMBLY KIT,A Total War Saga: TROY - AMAZONS,Strategy,"₹2,249",68%,76,Strong
Post Scriptum Modding SDKFree,Post Scriptum Modding SDK,Editor,–,–,Periscope Games,Offworld Industries,12/03/20,PlatformWindowsWindows,Windows 7 SP1 (X64),Intel Core i or AMD Ryzen with 4 physical cores,Geforce GTX 970 or AMD Radeon RX 570 with at least 4 GB of VRAM,Version 11,SDK 120GB,8GB RAM,"Audio: English, Chinese - Simplified, Chinese - Traditional, French, German, Italian, RussianText: English",Free,null,null,null
Mars 2030 EditorFree,Mars 2030 Editor,Editor,–,–,–,–,02/08/20,Platform,null,null,null,null,null,null,null,Free,null,null,null
Diesel Brothers: Truck Building Simulator EditorFree,null,null,null,null,null,null,05/10/19,null,null,null,null,null,null,null,EnglishFrenchItalianGermanSpanish - Spain,Free,null,null,null
Hello Neighbor Mod KitFree,Hello Neighbor Mod Kit,Editor,–,–,–,–,12/19/19,Platform,Windows 7,i5,GTX 770,11,5,6 Gb,null,Free,null,null,null
UNREAL TOURNAMENT EDITORFree,Modding,Editor,Application,–,Epic Games | Digital Extremes,Epic Games | GT Interactive,02/09/15,PlatformWindowsWindowsMac OSMac OS,null,null,null,null,null,null,Application,Free,null,null,null
ATLAS Mod KitFree,Atlas Mod Kit,Editor,–,–,Grapeshot Games,Snail Games USA,01/10/18,Platform,Windows 7/8.1/10 (64-bit versions),Intel Core i5-2400/AMD FX-8320 or better,NVIDIA GTX 770 2GB/AMD Radeon HD 7870 2GB or better,null,300 GB,16 GB,"English, Italian, Spanish, Simplified Chinese,  Traditional Chinese,  French,  German,  Russian, Turkish",Free,null,null,null
ARK ModkitFree,Ark Editor,Editor,–,–,–,–,07/20/15,Platform,null,null,null,null,null,null,null,Free,null,null,null
VR FunhouseFree,VR Funhouse Editor,Editor,–,–,–,–,08/31/16,Platform,null,null,null,null,null,null,null,Free,null,null,null
DCL The Game - Track EditorFree,DCL The Game - Track Editor,Editor,–,–,Drone Champions,Drone Champions,02/24/21,PlatformWindowsWindows,64-bit Windows 7 / 8 / 10,Intel Core i5-670,4 GB RAM,null,GeForce GTX650,24.0 GB,Audio/Text: English,Free,null,null,null
Conan Exiles ModkitFree,Conan Exiles Modkit,Editor,–,–,Funcom,Funcom,01/17/17,Platform,null,null,null,null,null,null,null,Free,null,null,null
Squad EditorFree,Squad Editor,Editor,–,–,Offworld Industries,Offworld Industries,06/09/16,Platform,null,null,null,null,null,null,null,Free,null,null,null
